symbol,totalBindingSites,log2FoldChange_dyna
USO1,6,0.1641656805998078
CCNG2,4,1.9376120514735937
BMP2K,7,1.0065585800636736
ENOPH1,1,0.09938848704081621
AFF1,12,0.48771012852997775
SMARCAD1,2,0.9324436244587359
PDLIM5,1,0.3081937498825452
OSTC,5,0.687758350146373
SEC24B,5,0.22754176085917904
AP1AR,2,0.9588943337836057
ALPK1,1,0.0015021126651254182
KIAA1109,1,0.854340424830759
ABHD18,1,0.892264248050968
LARP1B,1,0.13573099882635536
JADE1,1,0.16487347584327156
NOCT,1,1.1516040720276841
"NAA15",1,0.8038370394090835
MND1,5,0.45983634796848133
KLHL2,2,1.9644004812503815
CEP44,2,0.4503535607963607
STOX2,1,1.1531948059740256
SNX25,1,0.25922620527618173
GAK,3,0.604576682170294
SPON2,1,2.503358221905141
RAB28,3,0.9821040278564385
BOD1L1,2,0.39848923883528337
TAPT1,1,1.3225494735587093
DHX15,6,0.7383490161088097
SEL1L3,10,0.4504549854996248
PDS5A,2,0.47156322437609227
RBM47,5,1.0212899880167632
TEC,2,1.5614463063799233
FRYL,9,0.27973585532946854
SCFD2,12,0.8843910602337953
CHIC2,2,1.2352085582441397
CLOCK,2,0.2660588977838807
PPAT,3,0.3276407781256721
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
CENPC,10,1.5328979145906567
ANKRD17,1,0.18193746657944881
CXCL2,1,7.689260480877487
G3BP2,6,0.10152027347331592
CNOT6L,2,0.8875390210955445
LIN54,1,0.621675059427226
WDFY3,3,0.8848579118103483
KLHL8,2,1.168161871167512
EIF4E,1,0.005656162761366196
PPP3CA,5,0.11343766986485236
MANBA,3,0.2485180551661131
CENPE,2,2.035016432200817
SLC7A11,1,0.652068954616283
MAML3,3,0.19964857527676988
OTUD4,8,1.5052932221079938
LRBA,1,0.936912876548906
C4orf46,1,0.32794800797170315
"NAF1",3,0.3969764001402723
NEK1,1,1.8744758380388329
RWDD4,2,0.6036531946791899
RWDD4,2,0.6036531946791899
RWDD4,2,0.6036531946791899
RWDD4,2,0.6036531946791899
RWDD4,2,0.6036531946791899
CENPU,4,0.3393661622637365
CENPU,4,0.3393661622637365
MTRR,1,0.0676972858436608
MTRR,1,0.0676972858436608
CCT5,5,0.5211235693753542
OTULIN,1,1.3665628889441044
BRIX1,3,1.1274974272032066
NIPBL,10,0.7342722298874461
WDR70,1,0.8144411654744499
C5orf51,2,0.09763678952305162
NNT,27,0.2708193611814804
GPBP1,2,0.6094078091886139
ZSWIM6,1,1.2436349915897873
IPO11,7,0.6529774878836316
PPWD1,2,0.7808636803247433
TRAPPC13,3,0.147005812010505
ERBIN,4,0.9868996521561088
MCCC2,1,0.07608278677160558
FCHO2,1,0.41341876859479487
HMGCR,1,0.8409609615188466
POLK,2,0.6221789113655823
POLK,2,0.6221789113655823
POLK,2,0.6221789113655823
POLK,2,0.6221789113655823
